Módulo: 32603
Multiplicador (a): 170
Semilla (X0): 12345

✅ PERÍODO COMPLETO: 32602 valores únicos

SECUENCIA COMPLETA:
1 → 0.369843
2 → 0.873355
3 → 0.470386
4 → 0.965647
5 → 0.160047
6 → 0.207926
7 → 0.347361
8 → 0.051314
9 → 0.723430
10 → 0.983161
11 → 0.137380
12 → 0.354599
13 → 0.281876
14 → 0.918903
15 → 0.213539
16 → 0.301567
17 → 0.266448
18 → 0.296138
19 → 0.343527
20 → 0.399534
21 → 0.920743
22 → 0.526393
23 → 0.486857
24 → 0.765696
25 → 0.168389
26 → 0.626200
27 → 0.454007
28 → 0.181241
29 → 0.810968
30 → 0.864614
31 → 0.984327
32 → 0.335521
33 → 0.038616
34 → 0.564733
35 → 0.004662
36 → 0.792565
37 → 0.736067
38 → 0.131430
39 → 0.343036
40 → 0.316106
41 → 0.738000
42 → 0.459927
43 → 0.187590
44 → 0.890317
45 → 0.353863
46 → 0.156734
47 → 0.644787
48 → 0.613839
49 → 0.352667
50 → 0.953379
51 → 0.074349
52 → 0.639328
53 → 0.685704
54 → 0.569641
55 → 0.838941
56 → 0.620004
57 → 0.400730
58 → 0.124099
59 → 0.096832
60 → 0.461369
61 → 0.432660
62 → 0.552127
63 → 0.861608
64 → 0.473331
65 → 0.466215
66 → 0.256510
67 → 0.606723
68 → 0.142962
69 → 0.303592
70 → 0.610588
71 → 0.799957
72 → 0.992700
73 → 0.759010
74 → 0.031684
75 → 0.386314
76 → 0.673404
77 → 0.478729
78 → 0.383922
79 → 0.266693
80 → 0.337852
81 → 0.434899
82 → 0.932767
83 → 0.570377
84 → 0.964083
85 → 0.894120
86 → 0.000429
87 → 0.072999
88 → 0.409901
89 → 0.683158
90 → 0.136859
91 → 0.265957
92 → 0.212710
93 → 0.160783
94 → 0.333068
95 → 0.621477
96 → 0.651014
97 → 0.672331
98 → 0.296230
99 → 0.359169
100 → 0.058798
101 → 0.995706
102 → 0.270006
103 → 0.900991
104 → 0.168420
105 → 0.631414
106 → 0.340429
107 → 0.872895
108 → 0.392172
109 → 0.669325
110 → 0.785234
111 → 0.489863
112 → 0.276692
113 → 0.037696
114 → 0.408306
115 → 0.412017
116 → 0.042941
117 → 0.299942
118 → 0.990093
119 → 0.315799
120 → 0.685857
121 → 0.595712
122 → 0.271049
123 → 0.078275
124 → 0.306751
125 → 0.147655
126 → 0.101371
127 → 0.233077
128 → 0.623041
129 → 0.916940
130 → 0.879827
131 → 0.570592
132 → 0.000583
133 → 0.099071
134 → 0.842008
135 → 0.141429
136 → 0.042879
137 → 0.289513
138 → 0.217250
139 → 0.932491
140 → 0.523449
141 → 0.986290
142 → 0.669233
143 → 0.769592
144 → 0.830598
145 → 0.201730
146 → 0.294083
147 → 0.994172
148 → 0.009294
149 → 0.579916
150 → 0.585713
151 → 0.571205
152 → 0.104868
153 → 0.827501
154 → 0.675091
155 → 0.765512
156 → 0.137104
157 → 0.307671
158 → 0.304082
159 → 0.694016
160 → 0.982701
161 → 0.059166
162 → 0.058277
163 → 0.907064
164 → 0.200840
165 → 0.142870
166 → 0.287949
167 → 0.951323
168 → 0.724995
169 → 0.249088
170 → 0.344876
171 → 0.628961
172 → 0.923289
173 → 0.959176
174 → 0.059841
175 → 0.172990
176 → 0.408337
177 → 0.417232
178 → 0.929362
179 → 0.991596
180 → 0.571297
181 → 0.120510
182 → 0.486765
183 → 0.750054
184 → 0.509125
185 → 0.551238
186 → 0.710395
187 → 0.767107
188 → 0.408245
189 → 0.401589
190 → 0.270098
191 → 0.916633
192 → 0.827685
193 → 0.706377
194 → 0.084041
195 → 0.287029
196 → 0.794896
197 → 0.132350
198 → 0.499463
199 → 0.908751
200 → 0.487624
201 → 0.896053
202 → 0.328927
203 → 0.917554
204 → 0.984112
205 → 0.299022
206 → 0.833666
207 → 0.723154
208 → 0.936233
209 → 0.159587
210 → 0.129712
211 → 0.051038
212 → 0.676502
213 → 0.005368
214 → 0.912493
215 → 0.123762
216 → 0.039475
217 → 0.710732
218 → 0.824464
219 → 0.158881
